online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
Yes,Yes,775,Banashankari,Casual Dining,others,800.0,Buffet,1
Yes,No,787,Banashankari,Casual Dining,others,800.0,Buffet,1
Yes,No,918,Banashankari,"Cafe, Casual Dining",others,800.0,Buffet,1
No,No,88,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,0
No,No,166,Basavanagudi,Casual Dining,others,600.0,Buffet,1
Yes,No,286,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,1
No,No,8,others,Casual Dining,others,800.0,Buffet,0
Yes,Yes,2556,Banashankari,"Casual Dining, Cafe",others,600.0,Cafes,1
Yes,No,324,Banashankari,Cafe,others,700.0,Cafes,1
Yes,No,504,Banashankari,Cafe,others,550.0,Cafes,1
Yes,No,402,Banashankari,Cafe,Cafe,500.0,Cafes,1
Yes,Yes,150,Banashankari,Cafe,others,600.0,Cafes,1
Yes,Yes,164,Banashankari,Cafe,others,500.0,Cafes,1
No,No,424,Banashankari,Cafe,others,450.0,Cafes,1
Yes,No,918,Banashankari,"Cafe, Casual Dining",others,800.0,Cafes,1
Yes,No,90,Banashankari,Cafe,Cafe,650.0,Cafes,1
Yes,No,133,Banashankari,Cafe,others,800.0,Cafes,1
Yes,No,144,Banashankari,Cafe,others,700.0,Cafes,1
No,No,93,Banashankari,Cafe,others,300.0,Cafes,1
Yes,No,13,Banashankari,Cafe,others,400.0,Cafes,0
Yes,No,62,Banashankari,Cafe,others,400.0,Cafes,0
Yes,No,180,Banashankari,Cafe,others,500.0,Cafes,0
No,No,28,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,0
Yes,No,62,Banashankari,others,others,600.0,Cafes,0
No,No,31,Banashankari,Cafe,Cafe,300.0,Cafes,0
No,No,11,Banashankari,Cafe,others,600.0,Cafes,0
Yes,No,75,Banashankari,"Cafe, Quick Bites",others,200.0,Cafes,1
No,No,4,Banashankari,Cafe,others,500.0,Cafes,0
No,No,23,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,0
No,No,148,Basavanagudi,"Casual Dining, Cafe",others,550.0,Cafes,1
Yes,No,219,Basavanagudi,Cafe,others,600.0,Cafes,1
Yes,No,506,Banashankari,Quick Bites,others,500.0,Delivery,0
Yes,No,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,1
Yes,No,172,Banashankari,Delivery,others,750.0,Delivery,1
Yes,No,415,Banashankari,Quick Bites,others,500.0,Delivery,1
Yes,No,230,Banashankari,Delivery,Biryani,650.0,Delivery,1
Yes,No,91,Banashankari,Quick Bites,others,400.0,Delivery,0
Yes,No,1647,Banashankari,Casual Dining,others,600.0,Delivery,1
Yes,No,4884,Jayanagar,Casual Dining,others,750.0,Delivery,1
Yes,No,17,Banashankari,Quick Bites,South Indian,150.0,Delivery,1
Yes,No,133,Basavanagudi,Quick Bites,others,200.0,Delivery,1
No,No,28,Banashankari,Mess,South Indian,300.0,Delivery,1
Yes,No,286,Banashankari,Quick Bites,others,500.0,Delivery,1
Yes,No,540,Banashankari,Quick Bites,others,800.0,Delivery,1
Yes,Yes,2556,Banashankari,"Casual Dining, Cafe",others,600.0,Delivery,1
No,No,36,Banashankari,Delivery,others,400.0,Delivery,1
Yes,No,244,others,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Yes,No,804,others,Casual Dining,others,450.0,Delivery,1
Yes,No,679,others,Casual Dining,others,850.0,Delivery,0
Yes,No,245,others,Quick Bites,others,300.0,Delivery,0
No,No,21,Banashankari,Quick Bites,North Indian,450.0,Delivery,0
